Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20220109;6;15950;16036,638
20220109;7;16700;16484,3
20220109;8;16900;16835,425
20220109;9;18100;17299,488
20220109;10;19100;17983,45
20220109;11;19550;18426,813
20220109;12;19650;18351,738
20220109;13;19850;18560,663
20220109;14;20050;19110,688
20220109;15;19650;19472,2
20220109;16;19850;19621,313
20220109;17;21050;20519,413
20220109;18;21100;20862,875
20220109;19;21100;20844,813
20220109;20;21100;20951,913
20220109;21;20850;20552,363
20220109;22;20150;19667,825
20220109;23;19300;18919,088
20220109;24;18250;17734,013
20220110;1;17050;17083,9
20220110;2;16400;16764,463
20220110;3;16200;16569,05
20220110;4;16350;16596,938
20220110;5;17050;17013,525
20220110;6;18900;18254,875
20220110;7;22250;21426,013
20220110;8;23650;23775,1
20220110;9;24600;24862,963
20220110;10;24850;25265,375
20220110;11;25000;25115,9
20220110;12;25050;25330,975
20220110;13;25100;25350,875
20220110;14;25300;25601,825
20220110;15;24700;25658,438
20220110;16;24850;25607,663
20220110;17;25600;26060,663
20220110;18;25600;26077,838
20220110;19;25200;25775,925
20220110;20;25050;25572,775
20220110;21;24650;25000,95
20220110;22;23600;23569,6
20220110;23;21850;22124,825
20220110;24;20550;20728,475
20220111;1;19400;19611,75
20220111;2;18700;19217,95
20220111;3;18400;19021,9
20220111;4;18400;18956,225
20220111;5;19000;19357,05
20220111;6;20500;20256,788
20220111;7;23800;23058,125
20220111;8;24650;25135,4
20220111;9;25450;25808,55
20220111;10;25500;26075,113
20220111;11;25600;25762,788
20220111;12;25600;25851,925
20220111;13;25700;25869,713
20220111;14;25850;25903,625
20220111;15;25250;25717,275
20220111;16;25300;25698,613
20220111;17;26100;26333,913
20220111;18;26100;26376,225
20220111;19;25700;26035,275
20220111;20;25650;25911,988
20220111;21;25150;25398,425
20220111;22;23900;23889,963
20220111;23;22100;22446,15
20220111;24;20850;21031,3
20220112;1;19750;19947,588
20220112;2;19100;19415,55
20220112;3;18800;19110,5
20220112;4;18850;19177,175
20220112;5;19500;19436,663
20220112;6;21000;20286,725
20220112;7;24000;23115,313
20220112;8;24950;25064,463
20220112;9;25750;25790,3
20220112;10;25800;26068,963
20220112;11;26000;25847,425
20220112;12;26000;25974,925
20220112;13;26100;26041,738
20220112;14;26250;26148,513
20220112;15;25750;25997,938
20220112;16;25600;25886,5
20220112;17;26400;26379,45
20220112;18;26400;26426,688
20220112;19;26000;26034,138
20220112;20;25950;25897,613
20220112;21;25350;25190,513
20220112;22;24100;23629,338
20220112;23;22300;22070,163
20220112;24;21050;20595,888
20220113;1;19500;19522,4
20220113;2;18800;18956,45
20220113;3;18500;18504,65
20220113;4;18500;18538,413
20220113;5;18900;18834,475
20220113;6;20400;19707,875
20220113;7;23700;22367,225
20220113;8;24550;24377,525
20220113;9;25350;25144,013
20220113;10;25400;25505,675
20220113;11;25500;25399,138
20220113;12;25500;25798,4
20220113;13;25900;25862,038
20220113;14;26050;25981,613
20220113;15;25450;25504,45
20220113;16;25500;25342,975
20220113;17;25900;25749,875
20220113;18;25900;25674,188
20220113;19;25500;25203,713
20220113;20;25450;25007,45
20220113;21;24950;24344,288
20220113;22;23700;22806,075
20220113;23;21900;21317,125
20220113;24;20650;20022,775
20220114;1;19200;19024,475
20220114;2;18500;18410,663
20220114;3;18200;18028,45
20220114;4;18200;17955,663
20220114;5;18700;18261,963
20220114;6;20200;19108,525
20220114;7;23500;21797,625
20220114;8;24350;23805,375
20220114;9;25050;24719,888
20220114;10;25100;25180,825
20220114;11;25400;25134,25
20220114;12;25400;25513,188
20220114;13;25600;25604,863
20220114;14;25750;25638,613
20220114;15;25350;25065,188
20220114;16;25400;24739,913
20220114;17;25800;25219,8
20220114;18;25800;25213,275
20220114;19;25300;24848,713
20220114;20;25250;24675,725
20220114;21;24750;24093,813
20220114;22;23500;22588,6
20220114;23;21700;21186,188
20220114;24;20450;19919,075
20220115;1;18900;18910,45
20220115;2;18150;18231,313
20220115;3;17650;17853,888
20220115;4;17550;17781,9
20220115;5;17700;17762,363
20220115;6;18100;18040,5
20220115;7;19100;19142,975
20220115;8;19800;19989,413
20220115;9;20950;20751,475
20220115;10;21700;21391,638
20220115;11;22300;21710,975
20220115;12;22400;21778,263
20220115;13;22400;21716,125
20220115;14;22500;21781,125
20220115;15;21850;21572,45
20220115;16;21900;21702,388
20220115;17;22700;22465,513
20220115;18;22700;22635,3
20220115;19;22400;22492,575
20220115;20;22150;22251,65
20220115;21;21750;21645,488
20220115;22;20750;20586,65
20220115;23;19600;19553,788
20220115;24;18500;18446,238
20220116;1;17200;17305,563
20220116;2;16500;16688,113
20220116;3;16000;16256,613
20220116;4;15850;16145,913
20220116;5;16000;16129,825
20220116;6;16150;16368,325
20220116;7;16800;16821,538
20220116;8;17150;17139,263
20220116;9;18150;17722,225
20220116;10;18850;18480,588
20220116;11;19350;18856,9
20220116;12;19450;19179,188
20220116;13;19700;19484,9
20220116;14;19750;19755,513
20220116;15;19600;19652,413
20220116;16;19700;19637,063
20220116;17;21050;20181,913
20220116;18;21100;20604,888
20220116;19;21100;20589,013
20220116;20;21100;20640,45
20220116;21;20800;20106,538
20220116;22;20050;19233,15
20220116;23;19200;18586,375
20220116;24;18250;17579,775
20220117;1;17200;16767,363
20220117;2;16700;16271,363
20220117;3;16450;16080,675
20220117;4;16650;16105,038
20220117;5;17300;16490,138
20220117;6;19300;17714,125
20220117;7;22900;20911,638
20220117;8;24600;22946,55
20220117;9;25650;24305,563
20220117;10;25650;24917,425
20220117;11;25850;24963,688
20220117;12;25950;25190,825
20220117;13;26150;25205,35
20220117;14;26350;25259,175
20220117;15;26100;24959,313
20220117;16;25900;24698,963
20220117;17;26400;25194,363
20220117;18;26400;25434,838
20220117;19;25850;25070,738
20220117;20;25800;25026,038
20220117;21;25350;24421,125
20220117;22;24200;22938,363
20220117;23;22500;21378,05
20220117;24;21100;20149,438
20220118;1;19700;19150,513
20220118;2;19000;18590,325
20220118;3;18700;18218,013
20220118;4;18800;18234,4
20220118;5;19400;18523,563
20220118;6;20900;19383,95
20220118;7;24200;22139,563
20220118;8;25050;24112,125
20220118;9;25750;24927,863
20220118;10;25700;25159,813
20220118;11;25800;25023,038
20220118;12;25900;25153,513
20220118;13;26000;25158,438
20220118;14;26150;25231,6
20220118;15;25750;25052,813
20220118;16;25800;25082,675
20220118;17;26400;25591,888
20220118;18;26400;25849,05
20220118;19;25800;25538,563
20220118;20;25750;25409,25
20220118;21;25250;24818,0
20220118;22;24100;23204,463
20220118;23;22300;21820,6
20220118;24;21050;20519,588
20220119;1;19800;19533,275
20220119;2;19100;18801,638
20220119;3;18700;18390,213
20220119;4;18800;18435,813
20220119;5;19300;18861,588
20220119;6;20800;19706,263
20220119;7;24200;22208,963
20220119;8;25150;24194,788
20220119;9;25850;24954,05
20220119;10;25800;25316,575
20220119;11;25850;25068,825
20220119;12;25900;25017,788
20220119;13;26100;24873,163
20220119;14;26250;24837,875
20220119;15;25850;24696,013
20220119;16;25800;24752,5
20220119;17;26300;25273,275
20220119;18;26300;25440,175
20220119;19;25750;25132,463
20220119;20;25700;24966,35
20220119;21;25300;24494,9
20220119;22;24000;22947,188
20220119;23;22250;21638,9
20220119;24;20950;20237,163
20220120;1;19650;19250,1
20220120;2;18900;18523,9
20220120;3;18500;18109,863
20220120;4;18600;18142,488
20220120;5;19200;18418,925
20220120;6;20600;19283,338
20220120;7;24100;21911,663
20220120;8;24950;23813,613
20220120;9;25600;24704,0
20220120;10;25650;25017,363
20220120;11;25550;24862,25
20220120;12;25700;25333,088
20220120;13;25800;25413,25
20220120;14;26050;25559,15
20220120;15;25800;25443,575
20220120;16;25550;25057,175
20220120;17;26300;25456,213
20220120;18;26300;25778,188
20220120;19;25900;25462,063
20220120;20;25900;25273,975
20220120;21;25550;24719,225
20220120;22;24150;23256,463
20220120;23;22550;21680,938
20220120;24;21300;20395,713
20220121;1;19950;19486,675
20220121;2;19200;18893,988
20220121;3;18800;18551,2
20220121;4;19000;18580,1
20220121;5;19500;18851,925
20220121;6;20900;19777,888
20220121;7;24300;22312,238
20220121;8;25150;24187,938
20220121;9;25900;25037,213
20220121;10;25950;25435,5
20220121;11;25850;25439,7
20220121;12;26000;25661,725
20220121;13;26100;25706,013
20220121;14;26350;25754,213
20220121;15;26100;25299,9
20220121;16;25750;25112,888
20220121;17;26300;25516,35
20220121;18;26300;25722,425
20220121;19;25900;25233,738
20220121;20;25900;25153,925
20220121;21;25550;24531,075
20220121;22;24250;22996,225
20220121;23;22650;21680,35
20220121;24;21400;20562,038
20220122;1;19900;19509,925
20220122;2;19150;18899,763
20220122;3;18650;18367,038
20220122;4;18450;18193,075
20220122;5;18600;18348,825
20220122;6;19100;18521,138
20220122;7;20300;19509,713
20220122;8;21050;20336,363
20220122;9;22000;21612,863
20220122;10;22550;22673,6
20220122;11;22800;23285,063
20220122;12;22800;23313,875
20220122;13;22800;23142,425
20220122;14;22800;22959,275
20220122;15;22350;22512,188
20220122;16;22550;22047,375
20220122;17;23300;22403,775
20220122;18;23300;22817,325
20220122;19;23000;22639,825
20220122;20;22850;22429,838
20220122;21;22350;21871,763
20220122;22;21350;20706,338
20220122;23;20300;19581,588
20220122;24;19300;18498,775
20220123;1;17850;17415,15
20220123;2;17150;16898,95
20220123;3;16650;16507,975
20220123;4;16500;16307,175
20220123;5;16600;16515,038
20220123;6;16850;16619,263
20220123;7;17450;17015,5
20220123;8;17700;17261,9
20220123;9;18700;18160,05
20220123;10;19450;19182,0
20220123;11;19900;19876,338
20220123;12;20100;20282,463
20220123;13;20300;20499,338
20220123;14;20350;20563,738
20220123;15;20150;20321,888
20220123;16;20350;19968,05
20220123;17;21450;20382,85
20220123;18;21550;21119,988
20220123;19;21600;21164,388
20220123;20;21600;21196,188
20220123;21;21350;20879,525
20220123;22;20550;20033,325
20220123;23;19700;19420,825
20220123;24;18750;18444,113
20220124;1;17850;17592,013
20220124;2;17350;17121,375
20220124;3;17100;16952,35
20220124;4;17400;16986,2
20220124;5;18250;17499,825
20220124;6;20200;18617,75
20220124;7;23900;21641,375
20220124;8;25050;23850,15
20220124;9;26150;24988,363
20220124;10;26250;25606,8
20220124;11;25950;25601,75
20220124;12;26050;25880,038
20220124;13;26250;25783,013
20220124;14;26450;25803,938
20220124;15;26000;25514,425
20220124;16;25850;25327,288
20220124;17;26650;25567,713
20220124;18;26650;25787,25
20220124;19;26200;25419,95
20220124;20;26100;25241,763
20220124;21;25650;24589,175
20220124;22;24500;23087,838
20220124;23;22700;21628,638
20220124;24;21300;20331,113
20220125;1;19900;19306,038
20220125;2;19200;18764,225
20220125;3;18900;18394,525
20220125;4;18850;18457,288
20220125;5;19400;18789,725
20220125;6;20850;19667,563
20220125;7;24000;22132,95
20220125;8;25100;23877,2
20220125;9;25900;24938,813
20220125;10;25900;25403,238
20220125;11;26200;25395,963
20220125;12;26300;25765,888
20220125;13;26500;25844,275
20220125;14;26500;25907,4
20220125;15;26050;25480,275
20220125;16;25700;25194,2
20220125;17;26350;25401,6
20220125;18;26350;25645,125
20220125;19;25800;25303,838
20220125;20;25700;25183,363
20220125;21;25250;24556,338
20220125;22;24000;23076,463
20220125;23;22300;21625,663
20220125;24;21050;20268,788
20220126;1;19800;19185,925
20220126;2;19100;18596,188
20220126;3;18800;18227,438
20220126;4;18750;18270,988
20220126;5;19300;18755,988
20220126;6;20750;19637,825
20220126;7;23900;21841,65
20220126;8;25000;23670,613
20220126;9;25850;24772,913
20220126;10;25850;25205,013
20220126;11;26100;25194,3
20220126;12;26200;25614,338
20220126;13;26400;25771,85
20220126;14;26400;25873,063
20220126;15;25950;25477,663
20220126;16;25600;25075,025
20220126;17;26200;25248,425
20220126;18;26200;25580,875
20220126;19;25650;25185,463
20220126;20;25600;25085,638
20220126;21;25150;24415,45
20220126;22;23900;22805,713
20220126;23;22200;21355,313
20220126;24;20950;19985,138
20220127;1;19400;19080,763
20220127;2;18700;18504,388
20220127;3;18400;18105,338
20220127;4;18400;18227,625
20220127;5;18950;18517,588
20220127;6;20450;19274,325
20220127;7;23500;21732,388
20220127;8;24700;23488,663
20220127;9;25550;24559,725
20220127;10;25700;25132,0
20220127;11;25900;25209,813
20220127;12;25950;25471,925
20220127;13;26000;25762,025
20220127;14;26300;25834,675
20220127;15;25700;25472,15
20220127;16;25250;25214,613
20220127;17;25950;25220,7
20220127;18;25950;25406,3
20220127;19;25450;25146,588
20220127;20;25400;24879,688
20220127;21;25000;24136,388
20220127;22;23650;22576,725
20220127;23;22000;21207,913
20220127;24;20750;19874,125
20220128;1;19800;18786,2
20220128;2;19100;18214,113
20220128;3;18800;17850,763
20220128;4;18800;17833,65
20220128;5;19350;18259,675
20220128;6;20750;19073,7
20220128;7;23500;21520,938
20220128;8;24700;23130,15
20220128;9;25550;24291,888
20220128;10;25700;24957,675
20220128;11;26100;24985,875
20220128;12;26350;25372,263
20220128;13;26400;25504,75
20220128;14;26600;25481,025
20220128;15;26200;25185,3
20220128;16;25750;24893,75
20220128;17;26300;25032,888
20220128;18;26300;25309,95
20220128;19;25800;24959,388
20220128;20;25750;24770,863
20220128;21;25350;24171,838
20220128;22;24000;22652,588
20220128;23;22350;21201,35
20220128;24;21100;20068,925
20220129;1;19500;18897,413
20220129;2;18750;18256,375
20220129;3;18250;17817,938
20220129;4;18050;17697,013
20220129;5;18200;17776,663
20220129;6;18800;17986,663
20220129;7;20100;19052,313
20220129;8;20850;19744,525
20220129;9;21900;20756,013
20220129;10;22650;21700,263
20220129;11;23000;21976,575
20220129;12;23200;22243,538
20220129;13;23250;22375,95
20220129;14;23250;22631,275
20220129;15;22700;22100,113
20220129;16;22150;21891,713
20220129;17;22650;22157,938
20220129;18;22650;22513,575
20220129;19;22550;22180,075
20220129;20;22350;21800,5
20220129;21;21700;21068,7
20220129;22;20600;19771,6
20220129;23;19700;18713,425
20220129;24;18600;17384,275
20220130;1;16950;16521,138
20220130;2;16150;15892,513
20220130;3;15750;15542,863
20220130;4;15600;15228,375
20220130;5;15600;15263,5
20220130;6;15850;15705,175
20220130;7;16650;16108,788
20220130;8;17150;16338,138
20220130;9;18250;17222,45
20220130;10;19150;18219,55
20220130;11;19800;19172,875
20220130;12;20050;19563,613
20220130;13;20150;19846,225
20220130;14;20150;20187,7
20220130;15;20100;20010,3
20220130;16;19850;19675,763
20220130;17;20650;19882,575
20220130;18;20800;20564,475
20220130;19;20800;20701,6
20220130;20;20800;20596,25
20220130;21;20450;20022,425
20220130;22;19650;19084,125
20220130;23;18850;18530,413
20220130;24;17900;17465,613
20220131;1;17524;16753,0
20220131;2;16954;16293,825
20220131;3;16661;16118,013
20220131;4;16650;16191,613
20220131;5;17362;16603,238
20220131;6;19550;17890,925
20220131;7;22650;20888,125
20220131;8;24350;22886,6
20220131;9;25350;24195,575
20220131;10;25550;24708,388
20220131;11;25800;24721,25
20220131;12;25800;25084,175
20220131;13;25800;25271,475
20220131;14;25800;25545,55
20220131;15;25350;25060,688
20220131;16;24900;24729,9
20220131;17;25850;24846,3
20220131;18;25900;25311,925
20220131;19;25600;25137,363
20220131;20;25500;24920,288
20220131;21;24901;24348,525
20220131;22;23850;22945,95
20220131;23;22150;21514,7
20220131;24;20950;20224,588
20220201;1;19900;19212,125
20220201;2;19200;18626,875
20220201;3;18900;18355,088
20220201;4;18850;18261,05
20220201;5;19300;18552,363
20220201;6;20700;19420,838
20220201;7;23700;21900,363
20220201;8;25000;23600,138
20220201;9;25950;24557,825
20220201;10;26000;24757,013
20220201;11;26100;24893,525
20220201;12;26100;25517,238
20220201;13;26300;25670,813
20220201;14;26300;25865,413
20220201;15;25550;25457,388
20220201;16;25150;25148,188
20220201;17;26150;25144,813
20220201;18;26300;25578,338
20220201;19;25950;25241,0
20220201;20;25850;24951,675
20220201;21;25250;24275,85
20220201;22;24000;22861,213
20220201;23;22300;21483,975
20220201;24;21100;20176,65
20220202;1;19300;19208,713
20220202;2;18600;18622,775
20220202;3;18300;18268,463
20220202;4;18250;18276,988
20220202;5;18700;18659,763
20220202;6;20100;19544,4
20220202;7;23100;21894,263
20220202;8;24400;23554,613
20220202;9;25350;24519,138
20220202;10;25400;24931,413
20220202;11;25500;25010,713
20220202;12;25500;25462,5
20220202;13;25700;25451,088
20220202;14;25700;25482,825
20220202;15;24950;25074,313
20220202;16;24550;24900,113
20220202;17;25550;24935,188
20220202;18;25700;25271,338
20220202;19;25350;25044,45
20220202;20;25250;25035,438
20220202;21;24650;24434,263
20220202;22;23400;23076,888
20220202;23;21700;21775,713
20220202;24;20500;20496,888
20220203;1;19300;19527,363
20220203;2;18600;18924,925
20220203;3;18300;18550,188
20220203;4;18250;18581,638
20220203;5;18700;18998,6
20220203;6;20100;19722,35
20220203;7;23100;22007,7
20220203;8;24400;23654,375
20220203;9;25350;24668,338
20220203;10;25400;24955,975
20220203;11;25500;24770,813
20220203;12;25500;25032,763
20220203;13;25700;24937,225
20220203;14;25700;25196,3
20220203;15;24950;24886,225
20220203;16;24550;24804,275
20220203;17;25550;24777,163
20220203;18;25700;25347,338
20220203;19;25350;25132,55
20220203;20;25250;24991,913
20220203;21;24650;24286,588
20220203;22;23400;22852,725
20220203;23;21700;21387,275
20220203;24;20500;20184,325
20220204;1;19450;19138,2
20220204;2;18750;18522,125
20220204;3;18450;18236,313
20220204;4;18500;18146,638
20220204;5;19100;18550,438
20220204;6;20400;19391,713
20220204;7;23200;21789,788
20220204;8;24400;23559,163
20220204;9;25350;24576,738
20220204;10;25400;25011,513
20220204;11;25500;25062,963
20220204;12;25600;25333,638
20220204;13;25700;25386,85
20220204;14;25800;25450,713
20220204;15;25100;24979,088
20220204;16;24850;24631,55
20220204;17;25550;24561,375
20220204;18;25700;25045,588
20220204;19;25350;24700,838
20220204;20;25250;24335,513
20220204;21;24650;23527,225
20220204;22;23400;22126,925
20220204;23;21700;20790,425
