THB,1
USD,1
AUD,1
HKD,1
CAD,1
NZD,1
SGD,1
EUR,1
HUF,100
CHF,1
GBP,1
UAH,1
JPY,100
CZK,1
DKK,1
ISK,100
NOK,1
SEK,1
RON,1
BGN,1
TRY,1
ILS,1
CLP,100
PHP,1
MXN,1
ZAR,1
BRL,1
MYR,1
IDR,10000
INR,100
KRW,100
CNY,1
XDR,1
