data;currency;value
2023-01-02;THB;0.1267
2023-01-03;THB;0.129
2023-01-04;THB;0.1292
2023-01-05;THB;0.1295
2023-01-09;THB;0.1314
2023-01-10;THB;0.1304
2023-01-11;THB;0.1308
2023-01-12;THB;0.1306
2023-01-13;THB;0.1312
2023-01-16;THB;0.1317
2023-01-17;THB;0.1311
2023-01-18;THB;0.1319
2023-01-19;THB;0.1316
2023-01-20;THB;0.1326
2023-01-23;THB;0.1321
2023-01-24;THB;0.132
2023-01-25;THB;0.1319
2023-01-26;THB;0.1323
2023-01-27;THB;0.1316
2023-01-30;THB;0.1322
2023-01-31;THB;0.1317
2023-02-01;THB;0.1317
2023-02-02;THB;0.1305
2023-02-03;THB;0.1303
2023-02-06;THB;0.1302
2023-02-07;THB;0.1319
2023-02-08;THB;0.1317
2023-02-09;THB;0.1315
2023-02-10;THB;0.1319
2023-02-13;THB;0.1323
2023-02-14;THB;0.1315
2023-02-15;THB;0.1293
2023-02-16;THB;0.13
2023-02-17;THB;0.1297
2023-02-20;THB;0.1293
2023-02-21;THB;0.1288
2023-02-22;THB;0.1292
2023-02-23;THB;0.1295
2023-02-24;THB;0.1281
2023-02-27;THB;0.1273
2023-02-28;THB;0.1258
2023-03-01;THB;0.1267
2023-03-02;THB;0.1266
2023-03-03;THB;0.1278
2023-03-06;THB;0.1283
2023-03-07;THB;0.1273
2023-03-08;THB;0.1271
2023-03-09;THB;0.1265
2023-03-10;THB;0.1262
2023-03-13;THB;0.1267
2023-03-14;THB;0.1269
2023-03-15;THB;0.1272
2023-03-16;THB;0.1286
2023-03-17;THB;0.1291
2023-03-20;THB;0.1294
2023-03-21;THB;0.1274
2023-03-22;THB;0.1262
2023-03-23;THB;0.1262
2023-03-24;THB;0.1281
2023-03-27;THB;0.1266
2023-03-28;THB;0.1262
2023-03-29;THB;0.1265
2023-03-30;THB;0.1258
2023-03-31;THB;0.1256
2023-04-03;THB;0.1255
2023-04-04;THB;0.1252
2023-04-05;THB;0.1261
2023-04-06;THB;0.1263
2023-04-07;THB;0.1259
2023-04-11;THB;0.1254
2023-04-12;THB;0.1248
2023-04-13;THB;0.1239
2023-04-14;THB;0.1233
2023-04-17;THB;0.123
2023-04-18;THB;0.1231
2023-04-19;THB;0.1225
2023-04-20;THB;0.1221
2023-04-21;THB;0.1222
2023-04-24;THB;0.1218
2023-04-25;THB;0.1213
2023-04-26;THB;0.1215
2023-04-27;THB;0.1217
2023-04-28;THB;0.1225
2023-05-02;THB;0.1222
2023-05-04;THB;0.1228
2023-05-05;THB;0.1233
2023-05-08;THB;0.1222
2023-05-09;THB;0.1233
2023-05-10;THB;0.1231
2023-05-11;THB;0.1226
2023-05-12;THB;0.1226
2023-05-15;THB;0.123
2023-05-16;THB;0.1214
2023-05-17;THB;0.1212
2023-05-18;THB;0.1222
2023-05-19;THB;0.1221
2023-05-22;THB;0.1216
2023-05-23;THB;0.1201
2023-05-24;THB;0.1204
2023-05-25;THB;0.1212
2023-05-26;THB;0.1216
2023-05-29;THB;0.1216
2023-05-30;THB;0.1213
2023-05-31;THB;0.1224
2023-06-01;THB;0.1217
2023-06-02;THB;0.1214
2023-06-05;THB;0.1202
2023-06-06;THB;0.1206
2023-06-07;THB;0.1205
2023-06-09;THB;0.1201
2023-06-12;THB;0.1191
2023-06-13;THB;0.1199
2023-06-14;THB;0.1194
2023-06-15;THB;0.1183
2023-06-16;THB;0.1176
2023-06-19;THB;0.117
2023-06-20;THB;0.1169
2023-06-21;THB;0.1166
2023-06-22;THB;0.1152
2023-06-23;THB;0.1161
2023-06-26;THB;0.1156
2023-06-27;THB;0.1149
2023-06-28;THB;0.1144
2023-06-29;THB;0.1146
2023-06-30;THB;0.1156
2023-07-03;THB;0.1156
2023-07-04;THB;0.1165
2023-07-05;THB;0.1171
2023-07-06;THB;0.1174
2023-07-07;THB;0.1171
2023-07-10;THB;0.1157
2023-07-11;THB;0.1159
2023-07-12;THB;0.1155
2023-07-13;THB;0.115
2023-07-14;THB;0.1145
2023-07-17;THB;0.1144
2023-07-18;THB;0.1153
2023-07-19;THB;0.1162
2023-07-20;THB;0.1167
2023-07-21;THB;0.116
2023-07-24;THB;0.1166
2023-07-25;THB;0.1162
2023-07-26;THB;0.1167
2023-07-27;THB;0.1165
2023-07-28;THB;0.1169
2023-07-31;THB;0.1168
2023-08-01;THB;0.1175
2023-08-02;THB;0.1182
2023-08-03;THB;0.1178
2023-08-04;THB;0.1168
2023-08-07;THB;0.116
2023-08-08;THB;0.1156
2023-08-09;THB;0.1163
2023-08-10;THB;0.1155
2023-08-11;THB;0.1155
2023-08-14;THB;0.1152
2023-08-16;THB;0.1156
2023-08-17;THB;0.1158
2023-08-18;THB;0.1166
2023-08-21;THB;0.1168
2023-08-22;THB;0.117
2023-08-23;THB;0.1183
2023-08-24;THB;0.1178
2023-08-25;THB;0.118
2023-08-28;THB;0.1174
2023-08-29;THB;0.1176
2023-08-30;THB;0.1172
2023-08-31;THB;0.1174
2023-09-01;THB;0.1178
2023-09-04;THB;0.1174
2023-09-05;THB;0.1175
2023-09-06;THB;0.118
2023-09-07;THB;0.1205
2023-09-08;THB;0.1211
2023-09-11;THB;0.1214
2023-09-12;THB;0.1227
2023-09-13;THB;0.1209
2023-09-14;THB;0.1206
2023-09-15;THB;0.1213
2023-09-18;THB;0.1217
2023-09-19;THB;0.1208
2023-09-20;THB;0.1205
2023-09-21;THB;0.12
2023-09-22;THB;0.1201
2023-09-25;THB;0.1196
2023-09-26;THB;0.1197
2023-09-27;THB;0.1194
2023-09-28;THB;0.1197
2023-09-29;THB;0.1198
2023-10-02;THB;0.1183
2023-10-03;THB;0.1189
2023-10-04;THB;0.1191
2023-10-05;THB;0.1182
2023-10-06;THB;0.1179
2023-10-09;THB;0.1171
2023-10-10;THB;0.1167
2023-10-11;THB;0.117
2023-10-12;THB;0.1178
2023-10-13;THB;0.1183
2023-10-16;THB;0.1169
2023-10-17;THB;0.1157
2023-10-18;THB;0.1159
2023-10-19;THB;0.1159
2023-10-20;THB;0.1155
2023-10-23;THB;0.1153
2023-10-24;THB;0.1159
2023-10-25;THB;0.1169
2023-10-26;THB;0.1169
2023-10-27;THB;0.1167
2023-10-30;THB;0.1169
2023-10-31;THB;0.116
2023-11-02;THB;0.1168
2023-11-03;THB;0.1172
2023-11-06;THB;0.1169
2023-11-07;THB;0.1171
2023-11-08;THB;0.1174
2023-11-09;THB;0.1167
2023-11-10;THB;0.1154
2023-11-13;THB;0.1152
2023-11-14;THB;0.1143
2023-11-15;THB;0.1141
2023-11-16;THB;0.114
2023-11-17;THB;0.1149
2023-11-20;THB;0.1138
2023-11-21;THB;0.1132
2023-11-22;THB;0.1141
2023-11-23;THB;0.1133
2023-11-24;THB;0.113
2023-11-27;THB;0.1133
2023-11-28;THB;0.1138
2023-11-29;THB;0.1134
2023-11-30;THB;0.1131
2023-12-01;THB;0.1139
2023-12-04;THB;0.114
2023-12-05;THB;0.1131
2023-12-06;THB;0.1144
2023-12-07;THB;0.1143
2023-12-08;THB;0.1137
2023-12-11;THB;0.1129
2023-12-12;THB;0.1127
2023-12-13;THB;0.1122
2023-12-14;THB;0.1127
2023-12-15;THB;0.1129
2023-12-18;THB;0.1132
2023-12-19;THB;0.1132
2023-12-20;THB;0.1133
2023-12-21;THB;0.1138
2023-12-22;THB;0.1136
2023-12-27;THB;0.1139
2023-12-28;THB;0.1142
2023-12-29;THB;0.1145
2023-01-02;USD;4.3811
2023-01-03;USD;4.4373
2023-01-04;USD;4.3998
2023-01-05;USD;4.397
2023-01-09;USD;4.401
2023-01-10;USD;4.372
2023-01-11;USD;4.3639
2023-01-12;USD;4.3556
2023-01-13;USD;4.3272
2023-01-16;USD;4.3436
2023-01-17;USD;4.3398
2023-01-18;USD;4.3322
2023-01-19;USD;4.3469
2023-01-20;USD;4.352
2023-01-23;USD;4.3242
2023-01-24;USD;4.3341
2023-01-25;USD;4.3265
2023-01-26;USD;4.3354
2023-01-27;USD;4.3252
2023-01-30;USD;4.3258
2023-01-31;USD;4.348
2023-02-01;USD;4.3254
2023-02-02;USD;4.2803
2023-02-03;USD;4.2928
2023-02-06;USD;4.3833
2023-02-07;USD;4.4325
2023-02-08;USD;4.4074
2023-02-09;USD;4.4003
2023-02-10;USD;4.4565
2023-02-13;USD;4.4856
2023-02-14;USD;4.4463
2023-02-15;USD;4.4372
2023-02-16;USD;4.4601
2023-02-17;USD;4.4888
2023-02-20;USD;4.4515
2023-02-21;USD;4.4524
2023-02-22;USD;4.4687
2023-02-23;USD;4.4873
2023-02-24;USD;4.463
2023-02-27;USD;4.4697
2023-02-28;USD;4.4475
2023-03-01;USD;4.4094
2023-03-02;USD;4.4002
2023-03-03;USD;4.4341
2023-03-06;USD;4.4289
2023-03-07;USD;4.3981
2023-03-08;USD;4.4626
2023-03-09;USD;4.4356
2023-03-10;USD;4.4266
2023-03-13;USD;4.3906
2023-03-14;USD;4.3793
2023-03-15;USD;4.403
2023-03-16;USD;4.4248
2023-03-17;USD;4.4202
2023-03-20;USD;4.413
2023-03-21;USD;4.3715
2023-03-22;USD;4.3467
2023-03-23;USD;4.3011
2023-03-24;USD;4.3742
2023-03-27;USD;4.3518
2023-03-28;USD;4.33
2023-03-29;USD;4.3247
2023-03-30;USD;4.3043
2023-03-31;USD;4.2934
2023-04-03;USD;4.3168
2023-04-04;USD;4.2855
2023-04-05;USD;4.2739
2023-04-06;USD;4.3033
2023-04-07;USD;4.2932
2023-04-11;USD;4.2917
2023-04-12;USD;4.2713
2023-04-13;USD;4.2225
2023-04-14;USD;4.2042
2023-04-17;USD;4.2261
2023-04-18;USD;4.2151
2023-04-19;USD;4.2244
2023-04-20;USD;4.2024
2023-04-21;USD;4.2006
2023-04-24;USD;4.1905
2023-04-25;USD;4.1649
2023-04-26;USD;4.1557
2023-04-27;USD;4.1541
2023-04-28;USD;4.1753
2023-05-02;USD;4.1823
2023-05-04;USD;4.1547
2023-05-05;USD;4.1612
2023-05-08;USD;4.1384
2023-05-09;USD;4.1609
2023-05-10;USD;4.1532
2023-05-11;USD;4.1414
2023-05-12;USD;4.1638
2023-05-15;USD;4.149
2023-05-16;USD;4.1228
2023-05-17;USD;4.1504
2023-05-18;USD;4.1929
2023-05-19;USD;4.2053
2023-05-22;USD;4.1881
2023-05-23;USD;4.1634
2023-05-24;USD;4.1573
2023-05-25;USD;4.1994
2023-05-26;USD;4.2156
2023-05-29;USD;4.2234
2023-05-30;USD;4.2242
2023-05-31;USD;4.2559
2023-06-01;USD;4.2399
2023-06-02;USD;4.1903
2023-06-05;USD;4.1933
2023-06-06;USD;4.1964
2023-06-07;USD;4.1887
2023-06-09;USD;4.1545
2023-06-12;USD;4.1169
2023-06-13;USD;4.1439
2023-06-14;USD;4.1393
2023-06-15;USD;4.1203
2023-06-16;USD;4.0715
2023-06-19;USD;4.068
2023-06-20;USD;4.058
2023-06-21;USD;4.0648
2023-06-22;USD;4.033
2023-06-23;USD;4.0893
2023-06-26;USD;4.0669
2023-06-27;USD;4.0481
2023-06-28;USD;4.0719
2023-06-29;USD;4.0832
2023-06-30;USD;4.1066
2023-07-03;USD;4.0714
2023-07-04;USD;4.0636
2023-07-05;USD;4.0869
2023-07-06;USD;4.1191
2023-07-07;USD;4.1189
2023-07-10;USD;4.0632
2023-07-11;USD;4.0374
2023-07-12;USD;4.0347
2023-07-13;USD;3.9724
2023-07-14;USD;3.9617
2023-07-17;USD;3.9616
2023-07-18;USD;3.9451
2023-07-19;USD;3.9612
2023-07-20;USD;3.971
2023-07-21;USD;3.999
2023-07-24;USD;4.021
2023-07-25;USD;4.008
2023-07-26;USD;3.9949
2023-07-27;USD;3.9702
2023-07-28;USD;4.0377
2023-07-31;USD;3.9995
2023-08-01;USD;4.0262
2023-08-02;USD;4.0497
2023-08-03;USD;4.081
2023-08-04;USD;4.062
2023-08-07;USD;4.0347
2023-08-08;USD;4.0396
2023-08-09;USD;4.0592
2023-08-10;USD;4.0521
2023-08-11;USD;4.0501
2023-08-14;USD;4.0525
2023-08-16;USD;4.0832
2023-08-17;USD;4.1094
2023-08-18;USD;4.1285
2023-08-21;USD;4.1124
2023-08-22;USD;4.0924
2023-08-23;USD;4.1438
2023-08-24;USD;4.118
2023-08-25;USD;4.1419
2023-08-28;USD;4.14
2023-08-29;USD;4.1341
2023-08-30;USD;4.1167
2023-08-31;USD;4.1074
2023-09-01;USD;4.1263
2023-09-04;USD;4.1353
2023-09-05;USD;4.1643
2023-09-06;USD;4.1895
2023-09-07;USD;4.289
2023-09-08;USD;4.2958
2023-09-11;USD;4.3077
2023-09-12;USD;4.3711
2023-09-13;USD;4.3225
2023-09-14;USD;4.312
2023-09-15;USD;4.3418
2023-09-18;USD;4.3489
2023-09-19;USD;4.3472
2023-09-20;USD;4.3501
2023-09-21;USD;4.3365
2023-09-22;USD;4.3269
2023-09-25;USD;4.3188
2023-09-26;USD;4.3485
2023-09-27;USD;4.3622
2023-09-28;USD;4.4062
2023-09-29;USD;4.3697
2023-10-02;USD;4.3634
2023-10-03;USD;4.4012
2023-10-04;USD;4.4155
2023-10-05;USD;4.3768
2023-10-06;USD;4.3608
2023-10-09;USD;4.3439
2023-10-10;USD;4.2985
2023-10-11;USD;4.2589
2023-10-12;USD;4.2659
2023-10-13;USD;4.3033
2023-10-16;USD;4.2505
2023-10-17;USD;4.2131
2023-10-18;USD;4.2035
2023-10-19;USD;4.2264
2023-10-20;USD;4.2194
2023-10-23;USD;4.2022
2023-10-24;USD;4.1884
2023-10-25;USD;4.2284
2023-10-26;USD;4.2395
2023-10-27;USD;4.2267
2023-10-30;USD;4.204
2023-10-31;USD;4.1684
2023-11-02;USD;4.1963
2023-11-03;USD;4.1857
2023-11-06;USD;4.1512
2023-11-07;USD;4.1667
2023-11-08;USD;4.1804
2023-11-09;USD;4.1513
2023-11-10;USD;4.1423
2023-11-13;USD;4.1474
2023-11-14;USD;4.121
2023-11-15;USD;4.0453
2023-11-16;USD;4.0415
2023-11-17;USD;4.0327
2023-11-20;USD;3.9938
2023-11-21;USD;3.9882
2023-11-22;USD;4.018
2023-11-23;USD;3.9969
2023-11-24;USD;4.0103
2023-11-27;USD;3.9769
2023-11-28;USD;3.975
2023-11-29;USD;3.9478
2023-11-30;USD;3.981
2023-12-01;USD;3.991
2023-12-04;USD;3.985
2023-12-05;USD;3.991
2023-12-06;USD;4.0202
