data;currency;value
20240103;THB;0,1162
20240104;THB;0,1152
20240105;THB;0,1148
20240108;THB;0,1137
20240109;THB;0,1133
20240110;THB;0,1134
20240111;THB;0,1132
20240112;THB;0,1134
20240115;THB;0,1143
20240116;THB;0,1141
20240117;THB;0,1139
20240118;THB;0,1136
20240119;THB;0,1134
20240122;THB;0,112
20240123;THB;0,1124
20240124;THB;0,1125
20240125;THB;0,1125
20240126;THB;0,1134
20240129;THB;0,1134
20240130;THB;0,1139
20240131;THB;0,1131
20240201;THB;0,1129
20240202;THB;0,1125
20240205;THB;0,1124
20240206;THB;0,1135
20240207;THB;0,1134
20240208;THB;0,1125
20240209;THB;0,1117
20240212;THB;0,112
20240213;THB;0,1124
20240214;THB;0,1123
20240215;THB;0,1119
20240216;THB;0,112
20240219;THB;0,1118
20240220;THB;0,1109
20240221;THB;0,1115
20240222;THB;0,1111
20240223;THB;0,1109
20240226;THB;0,111
20240227;THB;0,1108
20240228;THB;0,1107
20240229;THB;0,111
20240301;THB;0,111
20240304;THB;0,1112
20240305;THB;0,1112
20240306;THB;0,111
20240307;THB;0,111
20240308;THB;0,1112
20240311;THB;0,1109
20240312;THB;0,1101
20240313;THB;0,1099
20240314;THB;0,11
20240315;THB;0,1101
20240318;THB;0,1099
20240319;THB;0,1105
20240320;THB;0,1103
20240321;THB;0,1094
20240322;THB;0,1098
20240325;THB;0,1094
20240326;THB;0,1094
20240327;THB;0,1095
20240328;THB;0,1099
20240329;THB;0,1097
20240402;THB;0,1092
20240403;THB;0,1086
20240404;THB;0,1077
20240405;THB;0,1079
20240408;THB;0,1077
20240409;THB;0,1076
20240410;THB;0,108
20240411;THB;0,1084
20240412;THB;0,1097
20240415;THB;0,1095
20240416;THB;0,111
20240417;THB;0,1108
20240418;THB;0,1104
20240419;THB;0,1104
20240422;THB;0,1095
20240423;THB;0,1096
20240424;THB;0,1092
20240425;THB;0,1088
20240426;THB;0,109
20240429;THB;0,1089
20240430;THB;0,1088
20240502;THB;0,1095
20240506;THB;0,1094
20240507;THB;0,1088
20240508;THB;0,1087
20240509;THB;0,1085
20240510;THB;0,1087
20240513;THB;0,1083
20240514;THB;0,1081
20240515;THB;0,1079
20240516;THB;0,1085
20240517;THB;0,1086
20240520;THB;0,1088
20240521;THB;0,1079
20240522;THB;0,108
20240523;THB;0,1079
20240524;THB;0,1073
20240527;THB;0,1071
20240528;THB;0,107
20240529;THB;0,1068
20240531;THB;0,107
20240603;THB;0,1072
20240604;THB;0,108
20240605;THB;0,108
20240606;THB;0,1082
20240607;THB;0,108
20240610;THB;0,109
20240611;THB;0,1101
20240612;THB;0,1099
20240613;THB;0,1095
20240614;THB;0,1109
20240617;THB;0,1106
20240103;USD;3,9909
20240104;USD;3,9684
20240105;USD;3,985
20240108;USD;3,9812
20240109;USD;3,9612
20240110;USD;3,9656
20240111;USD;3,968
20240112;USD;3,9746
20240115;USD;3,9963
20240116;USD;4,0358
20240117;USD;4,0434
20240118;USD;4,0437
20240119;USD;4,0289
20240122;USD;3,9972
20240123;USD;4,0133
20240124;USD;4,0131
20240125;USD;4,0189
20240126;USD;4,0393
20240129;USD;4,0326
20240130;USD;4,0301
20240131;USD;4,0135
20240201;USD;4,0047
20240202;USD;3,9641
20240205;USD;4,0244
20240206;USD;4,0484
20240207;USD;4,0362
20240208;USD;4,0292
20240209;USD;4,0096
20240212;USD;4,0189
20240213;USD;4,0136
20240214;USD;4,0593
20240215;USD;4,0495
20240216;USD;4,0325
20240219;USD;4,0269
20240220;USD;3,9994
20240221;USD;3,9966
20240222;USD;3,9804
20240223;USD;4,005
20240226;USD;3,9776
20240227;USD;3,9682
20240228;USD;3,9922
20240229;USD;3,9803
20240301;USD;3,9922
20240304;USD;3,982
20240305;USD;3,9838
20240306;USD;3,963
